model_label,num_gpus,max_num_seqs,trace_file
Llama-3.1-70B,4,8,73691f793f6be469/trace.csv
Llama-3.1-70B,4,16,73691f793f6be469/trace.csv
Llama-3.1-70B,4,32,73691f793f6be469/trace.csv
Llama-3.1-70B,4,64,73691f793f6be469/trace.csv
Llama-3.1-70B,4,128,73691f793f6be469/trace.csv
Llama-3.1-70B,4,256,73691f793f6be469/trace.csv
Llama-3.1-70B,4,512,73691f793f6be469/trace.csv
Qwen3-30B-A3B,2,8,860654eabd3dfebf/trace.csv
Qwen3-30B-A3B,2,16,860654eabd3dfebf/trace.csv
Qwen3-30B-A3B,2,32,860654eabd3dfebf/trace.csv
Qwen3-30B-A3B,2,64,860654eabd3dfebf/trace.csv
Qwen3-30B-A3B,2,128,860654eabd3dfebf/trace.csv
Qwen3-30B-A3B,2,256,860654eabd3dfebf/trace.csv
Qwen3-30B-A3B,2,512,860654eabd3dfebf/trace.csv
Llama-3.1-405B,8,8,4925acb216d43131/trace.csv
Llama-3.1-405B,8,16,4925acb216d43131/trace.csv
Llama-3.1-405B,8,32,4925acb216d43131/trace.csv
Llama-3.1-405B,8,64,4925acb216d43131/trace.csv
Llama-3.1-405B,8,128,4925acb216d43131/trace.csv
Llama-3.1-405B,8,256,4925acb216d43131/trace.csv
Llama-3.1-405B,8,512,4925acb216d43131/trace.csv
Qwen3-235B-A22B,8,8,2e756e9e0a2d417e/trace.csv
Qwen3-235B-A22B,8,16,2e756e9e0a2d417e/trace.csv
Qwen3-235B-A22B,8,32,2e756e9e0a2d417e/trace.csv
Qwen3-235B-A22B,8,64,2e756e9e0a2d417e/trace.csv
Qwen3-235B-A22B,8,128,2e756e9e0a2d417e/trace.csv
Qwen3-235B-A22B,8,256,2e756e9e0a2d417e/trace.csv
Qwen3-235B-A22B,8,512,2e756e9e0a2d417e/trace.csv
Llama-3.1-8B,1,8,bc0bde304544a603/trace.csv
Llama-3.1-8B,1,16,bc0bde304544a603/trace.csv
Llama-3.1-8B,1,32,bc0bde304544a603/trace.csv
Llama-3.1-8B,1,64,bc0bde304544a603/trace.csv
Llama-3.1-8B,1,128,bc0bde304544a603/trace.csv
Llama-3.1-8B,1,256,bc0bde304544a603/trace.csv
Llama-3.1-8B,1,512,bc0bde304544a603/trace.csv
