episode,timestep,ep_reward,ep_length,voltage,throughput,latency,switch,safe,max_undervoltage,max_overvoltage,mean_violation_frac
1,3599,-361.867055,3599,-259.3970550905712,0.0,0.0,-102.47000000000219,0.0,0.020341773677290065,0.004215610338801579,0.08228848291191998
2,7198,-285.553524,3599,-182.97352386370724,0.0,0.0,-102.58000000000207,0.0,0.01679292334044391,0.0044962129482224444,0.06696304529035843
3,10797,-226.063249,3599,-126.18324872731472,0.0,0.0,-99.88000000000218,0.0,0.014416363230951967,0.004116321203588402,0.0651656710197277
4,14396,-233.742765,3599,-134.55276509052894,0.0,0.0,-99.19000000000206,0.0,0.018258782389354855,0.004195080619030955,0.056942900805779385
5,17995,-194.571487,3599,-97.53148701168973,0.0,0.0,-97.04000000000222,0.0,0.01584083792885138,0.004180571521654519,0.051550777993887194
6,21594,-182.800528,3599,-87.16052791985136,0.0,0.0,-95.64000000000202,0.0,0.015095026096956898,0.004065235780340126,0.047452417338149484
7,25193,-184.441485,3599,-88.01148477189103,0.0,0.0,-96.43000000000193,0.0,0.015739554982646897,0.0042041921922213454,0.0480515420950264
8,28792,-165.415545,3599,-71.45554515170764,0.0,0.0,-93.96000000000186,0.0,0.012945162857634696,0.0034990761516788815,0.04484752709085857
9,32391,-173.524655,3599,-79.27465498399225,0.0,0.0,-94.25000000000219,0.0,0.014338488564778928,0.0042183885577717906,0.04579397054737427
10,35990,-147.094478,3599,-56.93447796020025,0.0,0.0,-90.16000000000184,0.0,0.014065586108546135,0.0037426739682837606,0.03878681578216171
11,39589,-143.821984,3599,-51.9419844414412,0.0,0.0,-91.88000000000231,0.0,0.01415494544739837,0.0038714786275948487,0.036546610169491525
12,43188,-139.243226,3599,-49.66322632983249,0.0,0.0,-89.58000000000203,0.0,0.015264669343457604,0.0038113497012217668,0.03551333703806613
13,46787,-140.776016,3599,-54.076015565637206,0.0,0.0,-86.7000000000019,0.0,0.01355124744759717,0.00404604523077956,0.03756251736593498
14,50386,-134.054129,3599,-51.41412929949994,0.0,0.0,-82.64000000000168,0.0,0.012201749124500227,0.004217643680768823,0.03769276187829953
15,53985,-117.035199,3599,-39.50519923264917,0.0,0.0,-77.53000000000166,0.0,0.012103952857485556,0.004212084473433908,0.03240483467629897
16,57584,-110.309769,3599,-33.21976888611002,0.0,0.0,-77.09000000000194,0.0,0.012057522342721505,0.003809982133993195,0.03065955821061406
17,61183,-97.311272,3599,-25.38127196567885,0.0,0.0,-71.93000000000168,0.0,0.010733257802078122,0.0034944796974789583,0.0272645179216449
18,64782,-94.030981,3599,-26.350980924211324,0.0,0.0,-67.68000000000147,0.0,0.01226575286383802,0.003692149825758495,0.027533689913864963
19,68381,-92.088714,3599,-30.628714265924362,0.0,0.0,-61.4600000000011,0.0,0.011711136839388625,0.0037463696859829643,0.0297304806890803
20,71980,-81.47222,3599,-23.462220120536283,0.0,0.0,-58.01000000000096,0.0,0.010630080559022925,0.0035446331564092937,0.025970755765490416
21,75579,-77.560766,3599,-20.87076638329672,0.0,0.0,-56.69000000000087,0.0,0.011224438749056764,0.003621966448816849,0.02518928869130314
22,79178,-80.043839,3599,-24.593839469506726,0.0,0.0,-55.45000000000096,0.0,0.011501517076701218,0.003544947056907777,0.027177688246735204
23,82777,-75.658138,3599,-25.39813797752442,0.0,0.0,-50.260000000000694,0.0,0.01103100784689326,0.003703559406224688,0.028089399833287024
24,86376,-68.929048,3599,-22.5590477358962,0.0,0.0,-46.37000000000069,0.0,0.01142296490455863,0.0036441485853497824,0.026517782717421504
25,89975,-58.106122,3599,-17.26612168673787,0.0,0.0,-40.84000000000029,0.0,0.010271657236086473,0.0035946457864060033,0.023305084745762712
26,93574,-59.845174,3599,-18.105174291288684,0.0,0.0,-41.74000000000064,0.0,0.011142151696171054,0.0036452647737614807,0.024060502917477078
27,97173,-55.589473,3599,-17.1094727812994,0.0,0.0,-38.480000000000594,0.0,0.010334835242561846,0.0036342195979046643,0.022584398444012225
28,100772,-49.987419,3599,-15.207419079168227,0.0,0.0,-34.780000000000534,0.0,0.009992437063011561,0.003680911240284024,0.0215598082800778
29,104371,-47.359172,3599,-16.229172283129472,0.0,0.0,-31.130000000000628,0.0,0.009992389297855175,0.003562999395364752,0.022323909419283135
30,107970,-43.67738,3599,-14.697380145073435,0.0,0.0,-28.98000000000067,0.0,0.010270359211815405,0.003634273158934276,0.021690052792442346
31,111569,-39.688485,3599,-13.898485148007477,0.0,0.0,-25.79000000000044,0.0,0.009992441421501796,0.003634219598082966,0.02066546262850792
32,115168,-40.113632,3599,-14.203631903687812,0.0,0.0,-25.91000000000039,0.0,0.010764119890798729,0.0037219074591563484,0.021143025840511254
33,118767,-33.338303,3599,-12.638302553975569,0.0,0.0,-20.70000000000015,0.0,0.009920202371672127,0.00363423512029315,0.019267504862461794
34,122366,-34.601618,3599,-13.44161830024992,0.0,0.0,-21.160000000000192,0.0,0.009992389297857618,0.003585633772454022,0.01997082522923034
35,125965,-33.443571,3599,-13.30357141810931,0.0,0.0,-20.140000000000125,0.0,0.00999238929785684,0.0036630396976133905,0.02007502083912198
36,129564,-32.292268,3599,-13.452267592944413,0.0,0.0,-18.840000000000007,0.0,0.009992389304155025,0.0035917945370693705,0.020118435676576826
37,133163,-30.65235,3599,-12.832349964971314,0.0,0.0,-17.81999999999993,0.0,0.009992389297855175,0.0035919250071831943,0.019475896082245068
